Rank,Team,Home Games,Home Wins,Home Ties,Home Losses,Home Goals For,Home Goals Against,Home Goal Diff,Home Points,Home Points Avg,Home xG For,Home xG Against,Home xG Diff,Home xG Diff Per 90,Away Games,Away Wins,Away Ties,Away Losses,Away Goals For,Away Goals Against,Away Goal Diff,Away Points,Away Points Avg,Away xG For,Away xG Against,Away xG Diff,Away xG Diff Per 90,Competicion,Temporada,season_weight,Home Win Ratio,Home Tie Ratio,Home Loss Ratio,Away Win Ratio,Away Tie Ratio,Away Loss Ratio
2,Arsenal,19,15,2,2,48,16,32,47,2.47,43.5,13.5,30.0,+1.58,19,13,3,3,43,13,30,42,2.21,32.6,14.5,18.1,+0.96,Premier leaqgue,2023/2024,1.5,0.7894736842105263,0.10526315789473684,0.10526315789473684,0.6842105263157895,0.15789473684210525,0.15789473684210525
3,Liverpool,19,15,3,1,49,17,32,48,2.53,54.7,17.6,37.1,+1.95,19,9,7,3,37,24,13,34,1.79,33.0,28.1,4.899999999999999,+0.26,Premier leaqgue,2023/2024,1.5,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.47368421052631576,0.3684210526315789,0.15789473684210525
4,Aston Villa,19,12,4,3,48,28,20,40,2.11,39.0,26.3,12.7,+0.67,19,8,4,7,28,33,-5,28,1.47,24.3,33.6,-9.3,-0.49,Premier leaqgue,2023/2024,1.5,0.631578947368421,0.21052631578947367,0.15789473684210525,0.42105263157894735,0.21052631578947367,0.3684210526315789
5,Tottenham,19,13,0,6,38,27,11,39,2.05,39.2,29.3,9.900000000000002,+0.52,19,7,6,6,36,34,2,27,1.42,28.9,34.1,-5.200000000000003,-0.27,Premier leaqgue,2023/2024,1.5,0.6842105263157895,0.0,0.3157894736842105,0.3684210526315789,0.3157894736842105,0.3157894736842105
6,Chelsea,19,11,4,4,44,26,18,37,1.95,44.2,24.9,19.300000000000004,+1.01,19,7,5,7,33,37,-4,26,1.37,30.3,33.1,-2.8000000000000007,-0.15,Premier leaqgue,2023/2024,1.5,0.5789473684210527,0.21052631578947367,0.21052631578947367,0.3684210526315789,0.2631578947368421,0.3684210526315789
7,Newcastle Utd,19,12,4,3,49,22,27,40,2.11,46.4,25.0,21.4,+1.12,19,6,2,11,36,40,-4,20,1.05,29.6,36.4,-6.799999999999997,-0.36,Premier leaqgue,2023/2024,1.5,0.631578947368421,0.21052631578947367,0.15789473684210525,0.3157894736842105,0.10526315789473684,0.5789473684210527
8,Manchester Utd,19,10,3,6,31,28,3,33,1.74,32.3,31.5,0.7999999999999972,+0.04,19,8,3,8,26,30,-4,27,1.42,24.1,37.4,-13.299999999999997,-0.70,Premier leaqgue,2023/2024,1.5,0.5263157894736842,0.15789473684210525,0.3157894736842105,0.42105263157894735,0.15789473684210525,0.42105263157894735
9,West Ham,19,7,8,4,31,28,3,29,1.53,26.3,29.7,-3.3999999999999986,-0.18,19,7,2,10,29,46,-17,23,1.21,26.1,41.4,-15.299999999999997,-0.80,Premier leaqgue,2023/2024,1.5,0.3684210526315789,0.42105263157894735,0.21052631578947367,0.3684210526315789,0.10526315789473684,0.5263157894736842
10,Crystal Palace,19,8,4,7,37,26,11,28,1.47,27.3,20.9,6.400000000000002,+0.34,19,5,6,8,20,32,-12,21,1.11,21.2,31.1,-9.900000000000002,-0.52,Premier leaqgue,2023/2024,1.5,0.42105263157894735,0.21052631578947367,0.3684210526315789,0.2631578947368421,0.3157894736842105,0.42105263157894735
11,Brighton,19,8,6,5,30,27,3,30,1.58,32.1,25.4,6.700000000000003,+0.36,19,4,6,9,25,35,-10,18,0.95,24.7,30.1,-5.400000000000002,-0.28,Premier leaqgue,2023/2024,1.5,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.21052631578947367,0.3157894736842105,0.47368421052631576
