Rank,Team,Home Games,Home Wins,Home Ties,Home Losses,Home Goals For,Home Goals Against,Home Goal Diff,Home Points,Home Points Avg,Home xG For,Home xG Against,Home xG Diff,Home xG Diff Per 90,Away Games,Away Wins,Away Ties,Away Losses,Away Goals For,Away Goals Against,Away Goal Diff,Away Points,Away Points Avg,Away xG For,Away xG Against,Away xG Diff,Away xG Diff Per 90,Competicion,Temporada
11,Chelsea,2,0,1,1,1,3,-2,1,0.50,3.3,1.3,+2.0,+1.00,1,1,0,0,6,2,+4,3,3.00,1.6,1.9,-0.3,-0.32,Premier leaqgue,2024/2025
12,Fulham,1,1,0,0,2,1,+1,3,3.00,1.8,0.6,+1.2,+1.15,2,0,1,1,1,2,-1,1,0.50,1.4,2.9,-1.5,-0.75,Premier leaqgue,2024/2025
13,West Ham,2,0,0,2,2,5,-3,0,0.00,3.0,5.0,-1.9,-0.97,1,1,0,0,2,0,+2,3,3.00,1.4,1.3,0.0,+0.01,Premier leaqgue,2024/2025
14,Manchester Utd,2,1,0,1,1,3,-2,3,1.50,3.8,2.2,+1.6,+0.79,1,0,0,1,1,2,-1,0,0.00,1.4,2.1,-0.7,-0.66,Premier leaqgue,2024/2025
15,Leicester City,2,0,1,1,2,3,-1,1,0.50,1.5,2.6,-1.1,-0.53,1,0,0,1,1,2,-1,0,0.00,0.6,1.8,-1.2,-1.15,Premier leaqgue,2024/2025
16,Crystal Palace,1,0,0,1,0,2,-2,0,0.00,1.3,1.4,0.0,-0.01,2,0,1,1,2,3,-1,1,0.50,1.7,4.0,-2.2,-1.12,Premier leaqgue,2024/2025
17,Ipswich Town,2,0,1,1,1,3,-2,1,0.50,0.9,3.5,-2.6,-1.30,1,0,0,1,1,4,-3,0,0.00,0.3,3.3,-3.1,-3.05,Premier leaqgue,2024/2025
18,Wolves,1,0,0,1,2,6,-4,0,0.00,1.9,1.6,+0.3,+0.32,2,0,1,1,1,3,-2,1,0.50,1.2,2.3,-1.1,-0.53,Premier leaqgue,2024/2025
19,Southampton,1,0,0,1,0,1,-1,0,0.00,0.1,2.2,-2.1,-2.11,2,0,0,2,1,4,-3,0,0.00,3.2,3.0,+0.2,+0.11,Premier leaqgue,2024/2025
20,Everton,2,0,0,2,2,6,-4,0,0.00,2.3,3.8,-1.5,-0.77,1,0,0,1,0,4,-4,0,0.00,1.0,2.4,-1.5,-1.45,Premier leaqgue,2024/2025
1,Manchester City,19,14,5,0,51,16,+35,47,2.47,40.7,14.0,+26.7,+1.41,19,14,2,3,45,18,+27,44,2.32,39.8,21.6,+18.2,+0.96,Premier leaqgue,2023/2024
2,Arsenal,19,15,2,2,48,16,+32,47,2.47,43.5,13.5,+30.0,+1.58,19,13,3,3,43,13,+30,42,2.21,32.6,14.5,+18.2,+0.96,Premier leaqgue,2023/2024
3,Liverpool,19,15,3,1,49,17,+32,48,2.53,54.7,17.6,+37.1,+1.95,19,9,7,3,37,24,+13,34,1.79,33.0,28.1,+4.9,+0.26,Premier leaqgue,2023/2024
4,Aston Villa,19,12,4,3,48,28,+20,40,2.11,39.0,26.3,+12.7,+0.67,19,8,4,7,28,33,-5,28,1.47,24.3,33.6,-9.3,-0.49,Premier leaqgue,2023/2024
5,Tottenham,19,13,0,6,38,27,+11,39,2.05,39.2,29.3,+9.9,+0.52,19,7,6,6,36,34,+2,27,1.42,28.9,34.1,-5.2,-0.27,Premier leaqgue,2023/2024
6,Chelsea,19,11,4,4,44,26,+18,37,1.95,44.2,24.9,+19.2,+1.01,19,7,5,7,33,37,-4,26,1.37,30.3,33.1,-2.8,-0.15,Premier leaqgue,2023/2024
7,Newcastle Utd,19,12,4,3,49,22,+27,40,2.11,46.4,25.0,+21.4,+1.12,19,6,2,11,36,40,-4,20,1.05,29.6,36.4,-6.7,-0.36,Premier leaqgue,2023/2024
8,Manchester Utd,19,10,3,6,31,28,+3,33,1.74,32.3,31.5,+0.8,+0.04,19,8,3,8,26,30,-4,27,1.42,24.1,37.4,-13.2,-0.70,Premier leaqgue,2023/2024
9,West Ham,19,7,8,4,31,28,+3,29,1.53,26.3,29.7,-3.5,-0.18,19,7,2,10,29,46,-17,23,1.21,26.1,41.4,-15.3,-0.80,Premier leaqgue,2023/2024
10,Crystal Palace,19,8,4,7,37,26,+11,28,1.47,27.3,20.9,+6.5,+0.34,19,5,6,8,20,32,-12,21,1.11,21.2,31.1,-9.9,-0.52,Premier leaqgue,2023/2024
11,Brighton,19,8,6,5,30,27,+3,30,1.58,32.1,25.4,+6.8,+0.36,19,4,6,9,25,35,-10,18,0.95,24.7,30.1,-5.4,-0.28,Premier leaqgue,2023/2024
12,Bournemouth,19,7,6,6,27,28,-1,27,1.42,27.4,24.3,+3.1,+0.17,19,6,3,10,27,39,-12,21,1.11,28.5,33.8,-5.3,-0.28,Premier leaqgue,2023/2024
13,Fulham,19,9,2,8,31,24,+7,29,1.53,27.9,27.8,+0.1,0.00,19,4,6,9,24,37,-13,18,0.95,22.9,35.1,-12.2,-0.64,Premier leaqgue,2023/2024
14,Wolves,19,8,3,8,26,30,-4,27,1.42,23.2,30.5,-7.2,-0.38,19,5,4,10,24,35,-11,19,1.00,23.5,37.2,-13.7,-0.72,Premier leaqgue,2023/2024
15,Everton,19,8,4,7,22,18,+4,28,1.47,32.1,22.5,+9.7,+0.51,19,5,5,9,18,33,-15,20,1.05,21.9,32.7,-10.8,-0.57,Premier leaqgue,2023/2024
16,Brentford,19,5,7,7,29,34,-5,22,1.16,30.8,29.7,+1.1,+0.06,19,5,2,12,27,31,-4,17,0.89,27.4,26.3,+1.2,+0.06,Premier leaqgue,2023/2024
17,Nott'ham Forest,19,5,5,9,27,30,-3,20,1.05,25.0,21.8,+3.2,+0.17,19,4,4,11,22,37,-15,16,0.84,25.0,31.4,-6.5,-0.34,Premier leaqgue,2023/2024
18,Luton Town,19,4,4,11,28,37,-9,16,0.84,25.8,31.1,-5.3,-0.28,19,2,4,13,24,48,-24,10,0.53,16.6,46.9,-30.2,-1.59,Premier leaqgue,2023/2024
19,Burnley,19,2,4,13,19,43,-24,10,0.53,22.6,29.1,-6.5,-0.34,19,3,5,11,22,35,-13,14,0.74,18.0,41.3,-23.2,-1.22,Premier leaqgue,2023/2024
20,Sheffield Utd,19,2,4,13,19,57,-38,10,0.53,24.2,37.8,-13.6,-0.72,19,1,3,15,16,47,-31,6,0.32,14.0,38.8,-24.8,-1.30,Premier leaqgue,2023/2024
1,Manchester City,19,17,1,1,60,17,+43,52,2.74,42.7,12.8,+29.9,+1.57,19,11,4,4,34,16,+18,37,1.95,35.9,19.3,+16.6,+0.87,Premier leaqgue,2022/2023
2,Arsenal,19,14,3,2,53,25,+28,45,2.37,42.5,19.2,+23.3,+1.23,19,12,3,4,35,18,+17,39,2.05,29.1,22.7,+6.4,+0.34,Premier leaqgue,2022/2023
3,Manchester Utd,19,15,3,1,36,10,+26,48,2.53,40.9,19.4,+21.5,+1.13,19,8,3,8,22,33,-11,27,1.42,26.7,31.0,-4.3,-0.22,Premier leaqgue,2022/2023
4,Newcastle Utd,19,11,6,2,36,14,+22,39,2.05,43.3,15.6,+27.7,+1.46,19,8,8,3,32,19,+13,32,1.68,28.6,23.9,+4.7,+0.25,Premier leaqgue,2022/2023
5,Liverpool,19,13,5,1,46,17,+29,44,2.32,40.6,20.2,+20.4,+1.07,19,6,5,8,29,30,-1,23,1.21,30.9,30.5,+0.4,+0.02,Premier leaqgue,2022/2023
6,Brighton,19,10,4,5,37,21,+16,34,1.79,40.7,22.6,+18.1,+0.95,19,8,4,7,35,32,+3,28,1.47,32.6,27.5,+5.0,+0.27,Premier leaqgue,2022/2023
7,Aston Villa,19,12,2,5,33,21,+12,38,2.00,29.3,23.7,+5.7,+0.30,19,6,5,8,18,25,-7,23,1.21,20.9,28.8,-7.9,-0.41,Premier leaqgue,2022/2023
8,Tottenham,19,12,1,6,37,25,+12,37,1.95,31.1,20.5,+10.6,+0.56,19,6,5,8,33,38,-5,23,1.21,25.9,29.1,-3.2,-0.17,Premier leaqgue,2022/2023
9,Brentford,19,10,7,2,35,18,+17,37,1.95,32.8,20.9,+11.8,+0.62,19,5,7,7,23,28,-5,22,1.16,23.5,27.8,-4.4,-0.23,Premier leaqgue,2022/2023
10,Fulham,19,8,5,6,31,29,+2,29,1.53,24.3,29.7,-5.4,-0.29,19,7,2,10,24,24,0,23,1.21,21.9,33.9,-12.0,-0.63,Premier leaqgue,2022/2023
11,Crystal Palace,19,7,7,5,21,23,-2,28,1.47,20.3,23.2,-2.9,-0.15,19,4,5,10,19,26,-7,17,0.89,18.9,24.8,-5.9,-0.31,Premier leaqgue,2022/2023
